name,Class,Rscore,label,image,usage
BW1574957,1d,0.825,3cl/v2-0-0/labels/BW1574957_41040_2019-08.tif,3cl/v2-0-0/images/BW1574957_2019-08.tif,train
ZM1740694,2,0.706386292834891,3cl/v2-0-0/labels/ZM1740694_7112_2022-06.tif,3cl/v2-0-0/images/ZM1740694_2022-06.tif,train
ET1631878,2,0.6941747572815534,3cl/v2-0-0/labels/ET1631878_8452_2019-02.tif,3cl/v2-0-0/images/ET1631878_2019-02.tif,train
NG0706735,2,0.7282051282051282,3cl/v2-0-0/labels/NG0706735_36657_2019-02.tif,3cl/v2-0-0/images/NG0706735_2019-02.tif,train
NG0699898,2,0.6941747572815534,3cl/v2-0-0/labels/NG0699898_8784_2019-02.tif,3cl/v2-0-0/images/NG0699898_2019-02.tif,train
TZ0913922,2,0.7687224669603524,3cl/v2-0-0/labels/TZ0913922_31111_2023-09.tif,3cl/v2-0-0/images/TZ0913922_2023-09.tif,train
ET0790394,2,0.7687224669603524,3cl/v2-0-0/labels/ET0790394_7338_2019-02.tif,3cl/v2-0-0/images/ET0790394_2019-02.tif,train
TZ0535348,2,0.8117408906882592,3cl/v2-0-0/labels/TZ0535348_32168_2023-10.tif,3cl/v2-0-0/images/TZ0535348_2023-10.tif,train
ZM1135107,2,0.8707482993197279,3cl/v2-0-0/labels/ZM1135107_7101_2020-02.tif,3cl/v2-0-0/images/ZM1135107_2020-02.tif,train
GH0333390,2,0.8043478260869565,3cl/v2-0-0/labels/GH0333390_31325_2019-02.tif,3cl/v2-0-0/images/GH0333390_2019-02.tif,train
ZW0919599,2,0.8303108808290155,3cl/v2-0-0/labels/ZW0919599_32529_2023-06.tif,3cl/v2-0-0/images/ZW0919599_2023-06.tif,train
UG0575596,2,0.8356164383561644,3cl/v2-0-0/labels/UG0575596_26096_2021-11.tif,3cl/v2-0-0/images/UG0575596_2021-11.tif,train
BF0670580,2,0.825,3cl/v2-0-0/labels/BF0670580_4107_2020-02.tif,3cl/v2-0-0/images/BF0670580_2020-02.tif,train
KE1589159,2,0.7239819004524887,3cl/v2-0-0/labels/KE1589159_14038_2017-02.tif,3cl/v2-0-0/images/KE1589159_2017-02.tif,train
NG0093541,2,0.8303108808290155,3cl/v2-0-0/labels/NG0093541_30057_2022-04.tif,3cl/v2-0-0/images/NG0093541_2022-04.tif,train
ET3075108,2,0.706386292834891,3cl/v2-0-0/labels/ET3075108_7402_2017-02.tif,3cl/v2-0-0/images/ET3075108_2017-02.tif,train
NG0786647,2,0.8117408906882592,3cl/v2-0-0/labels/NG0786647_28306_2022-08.tif,3cl/v2-0-0/images/NG0786647_2022-08.tif,train
TZ0983283,2,0.706386292834891,3cl/v2-0-0/labels/TZ0983283_5875_2020-12.tif,3cl/v2-0-0/images/TZ0983283_2020-12.tif,train
TZ0526314,2,0.7687224669603524,3cl/v2-0-0/labels/TZ0526314_14921_2019-02.tif,3cl/v2-0-0/images/TZ0526314_2019-02.tif,train
SD5426012,2,0.7239819004524887,3cl/v2-0-0/labels/SD5426012_13380_2017-02.tif,3cl/v2-0-0/images/SD5426012_2017-02.tif,train
ZA2423697,2,0.7970297029702971,3cl/v2-0-0/labels/ZA2423697_31656_2023-11.tif,3cl/v2-0-0/images/ZA2423697_2023-11.tif,train
KE1193714,2,0.6941747572815534,3cl/v2-0-0/labels/KE1193714_3147_2021-05.tif,3cl/v2-0-0/images/KE1193714_2021-05.tif,train
TZ2961300,2,0.825,3cl/v2-0-0/labels/TZ2961300_25926_2018-02.tif,3cl/v2-0-0/images/TZ2961300_2018-02.tif,train
SD5155112,2,0.6941747572815534,3cl/v2-0-0/labels/SD5155112_31443_2023-03.tif,3cl/v2-0-0/images/SD5155112_2023-03.tif,train
UG0080038,2,0.7282051282051282,3cl/v2-0-0/labels/UG0080038_3119_2021-04.tif,3cl/v2-0-0/images/UG0080038_2021-04.tif,train
BF0437114,2,0.825,3cl/v2-0-0/labels/BF0437114_8271_2021-04.tif,3cl/v2-0-0/images/BF0437114_2021-04.tif,train
AO3059366,2,0.706386292834891,3cl/v2-0-0/labels/AO3059366_9329_2017-08.tif,3cl/v2-0-0/images/AO3059366_2017-08.tif,train
GN0306691,2,0.7282051282051282,3cl/v2-0-0/labels/GN0306691_705_2022-04.tif,3cl/v2-0-0/images/GN0306691_2022-04.tif,train
RW0008466,2,0.825,3cl/v2-0-0/labels/RW0008466_7789_2020-11.tif,3cl/v2-0-0/images/RW0008466_2020-11.tif,train
RW0038996,2,0.8117408906882592,3cl/v2-0-0/labels/RW0038996_8862_2018-08.tif,3cl/v2-0-0/images/RW0038996_2018-08.tif,train
NG0323041,2,0.7282051282051282,3cl/v2-0-0/labels/NG0323041_20165_2017-02.tif,3cl/v2-0-0/images/NG0323041_2017-02.tif,train
NG1826426,2,0.7687224669603524,3cl/v2-0-0/labels/NG1826426_3051_2020-02.tif,3cl/v2-0-0/images/NG1826426_2020-02.tif,train
ZM1868563,2,0.7282051282051282,3cl/v2-0-0/labels/ZM1868563_1408_2022-06.tif,3cl/v2-0-0/images/ZM1868563_2022-06.tif,train
ZA1713849,2,0.7970297029702971,3cl/v2-0-0/labels/ZA1713849_26292_2019-08.tif,3cl/v2-0-0/images/ZA1713849_2019-08.tif,train
CI0065094,1d,0.8043478260869565,3cl/v2-0-0/labels/CI0065094_39654_2019-02.tif,3cl/v2-0-0/images/CI0065094_2019-02.tif,train
ZW1057181,1a,0.7893738140417458,3cl/v2-0-0/labels/ZW1057181_100629_2020-09.tif,3cl/v2-0-0/images/ZW1057181_2020-09.tif,train
SO1629283,2,0.8043478260869565,3cl/v2-0-0/labels/SO1629283_18416_2020-12.tif,3cl/v2-0-0/images/SO1629283_2020-12.tif,train
ZA1698227,2,0.8117408906882592,3cl/v2-0-0/labels/ZA1698227_37857_2018-08.tif,3cl/v2-0-0/images/ZA1698227_2018-08.tif,train
TZ0464471,2,0.825,3cl/v2-0-0/labels/TZ0464471_31559_2022-10.tif,3cl/v2-0-0/images/TZ0464471_2022-10.tif,train
NG2300710,2,0.8303108808290155,3cl/v2-0-0/labels/NG2300710_5641_2019-02.tif,3cl/v2-0-0/images/NG2300710_2019-02.tif,train
NG1178898,2,0.7282051282051282,3cl/v2-0-0/labels/NG1178898_6674_2018-02.tif,3cl/v2-0-0/images/NG1178898_2018-02.tif,train
GM0008805,2,0.7282051282051282,3cl/v2-0-0/labels/GM0008805_31495_2020-02.tif,3cl/v2-0-0/images/GM0008805_2020-02.tif,train
NG1255435,2,0.8303108808290155,3cl/v2-0-0/labels/NG1255435_8779_2017-02.tif,3cl/v2-0-0/images/NG1255435_2017-02.tif,train
CD1070800,4,0.8117408906882592,3cl/v2-0-0/labels/CD1070800_19941_2021-04.tif,3cl/v2-0-0/images/CD1070800_2021-04.tif,train
TZ1106948,2,0.8356164383561644,3cl/v2-0-0/labels/TZ1106948_34075_2019-08.tif,3cl/v2-0-0/images/TZ1106948_2019-08.tif,train
NG1987828,2,0.8117408906882592,3cl/v2-0-0/labels/NG1987828_8826_2017-02.tif,3cl/v2-0-0/images/NG1987828_2017-02.tif,train
