name,Class,Rscore,label,image,usage
NG1830786,2,0.6625,3cl/v2-0-0/labels/NG1830786_28273_2023-03.tif,3cl/v2-0-0/images/NG1830786_2023-03.tif.tif,validate
BF0384736,2,0.6305841924398625,3cl/v2-0-0/labels/BF0384736_13753_2022-04.tif,3cl/v2-0-0/images/BF0384736_2022-04.tif.tif,validate
NG0130294,2,0.691747572815534,3cl/v2-0-0/labels/NG0130294_33866_2017-08.tif,3cl/v2-0-0/images/NG0130294_2017-08.tif.tif,validate
BF0689432,2,0.6625,3cl/v2-0-0/labels/BF0689432_8285_2021-04.tif,3cl/v2-0-0/images/BF0689432_2021-04.tif.tif,validate
MW0058209,2,0.6625,3cl/v2-0-0/labels/MW0058209_3777_2019-08.tif,3cl/v2-0-0/images/MW0058209_2019-08.tif.tif,validate
ZA2450766,2,0.6302521008403361,3cl/v2-0-0/labels/ZA2450766_20563_2018-08.tif,3cl/v2-0-0/images/ZA2450766_2018-08.tif.tif,validate
UG0076824,2,0.6480446927374302,3cl/v2-0-0/labels/UG0076824_37904_2023-07.tif,3cl/v2-0-0/images/UG0076824_2023-07.tif.tif,validate
CI0030008,2,0.6480446927374302,3cl/v2-0-0/labels/CI0030008_21847_2018-02.tif,3cl/v2-0-0/images/CI0030008_2018-02.tif.tif,validate
TZ0672719,2,0.6625,3cl/v2-0-0/labels/TZ0672719_9090_2018-02.tif,3cl/v2-0-0/images/TZ0672719_2018-02.tif.tif,validate
ZA0188392,1d,0.7970297029702971,3cl/v2-0-0/labels/ZA0188392_38228_2020-07.tif,3cl/v2-0-0/images/ZA0188392_2020-07.tif.tif,validate
MW0157288,2,0.6941747572815534,3cl/v2-0-0/labels/MW0157288_35496_2023-09.tif,3cl/v2-0-0/images/MW0157288_2023-09.tif.tif,validate
ML3993949,2,0.6305841924398625,3cl/v2-0-0/labels/ML3993949_22975_2022-04.tif,3cl/v2-0-0/images/ML3993949_2022-04.tif.tif,validate
SD5120772,2,0.6941747572815534,3cl/v2-0-0/labels/SD5120772_18370_2020-02.tif,3cl/v2-0-0/images/SD5120772_2020-02.tif.tif,validate
